Category,Title,Price,Location,Area,URL
Homes for Sale,"10 Marla House for sale in DHA Phase 3, Lahore | 1467576 | Graana.com",5.35 Crore,"DHA Phase 3, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-3-lahore-1467576/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467500 | Graana.com",12.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467500/
Plots for Sale,"10 Marla Residential Plot for sale in Al Jalil Garden, Lahore | 1467383 | Graana.com",1.05 Crore,"Al Jalil Garden, Lahore",10 marla,https://www.graana.com/property/10-marla-residential-plot-sale-al-jalil-garden-lahore-1467383/
Plots for Sale,"10 Marla Residential Plot for sale in Bahria Town - Sector F, Lahore | 1464428 | Graana.com",1.9 Crore,"Bahria Town - Sector F, Lahore",10 marla,https://www.graana.com/property/10-marla-residential-plot-sale-bahria-town---sector-f-lahore-1464428/
Rentals,"5 Marla House for rent in Gulberg 3, Lahore | 1467570 | Graana.com",1.75 Lac,"Gulberg 3, Lahore",3,https://www.graana.com/property/5-marla-house-rent-gulberg-3-lahore-1467570/
Rentals,"5 Marla House for rent in Allama Iqbal Town, Lahore | 1467410 | Graana.com",78000,"Allama Iqbal Town, Lahore",3,https://www.graana.com/property/5-marla-house-rent-allama-iqbal-town-lahore-1467410/
Commercial Rentals,"7 Marla Hall for rent in DHA Phase 1, Lahore | 1466384 | Graana.com",95000,"DHA Phase 1, Lahore",0,https://www.graana.com/property/7-marla-hall-rent-dha-phase-1-lahore-1466384/
Commercial Rentals,"900 Sqft Office for rent in Gulberg, Lahore | 1454804 | Graana.com",2 Lac,"Gulberg, Lahore",0,https://www.graana.com/property/900-sqft-office-rent-gulberg-lahore-1454804/
Commercial for Sale,"300 Sqft Shop for sale in Bismillah Housing Scheme, Lahore | 1466928 | Graana.com",57 Lac,"Bismillah Housing Scheme, Lahore",Studio,https://www.graana.com/property/300-sqft-shop-sale-bismillah-housing-scheme-lahore-1466928/
Commercial for Sale,"8 Kanal Warehouse for sale in Multan Road, Lahore | 1270049 | Graana.com",15 Crore,"Multan Road, Lahore",8,https://www.graana.com/property/8-kanal-warehouse-sale-multan-road-lahore-1270049/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467249 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467249/
Homes for Sale,"10 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467059 | Graana.com",4.72 Crore,"Al Rehman Garden Phase 2, Lahore",5,https://www.graana.com/property/10-marla-house-sale-al-rehman-garden-phase-2-lahore-1467059/
Homes for Sale,"1 Kanal House for sale in DHA Phase 1, Lahore | 1466978 | Graana.com",6.9 Crore,"DHA Phase 1, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-1-lahore-1466978/
Plots for Sale,"10 Marla Residential Plot for sale in Bahria Town - Sector B, Lahore | 1464277 | Graana.com",1.97 Crore,"Bahria Town - Sector B, Lahore",10 marla,https://www.graana.com/property/10-marla-residential-plot-sale-bahria-town---sector-b-lahore-1464277/
Plots for Sale,"5 Marla Residential Plot for sale in Bahria Town - Sector F, Lahore | 1464070 | Graana.com",87 Lac,"Bahria Town - Sector F, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-bahria-town---sector-f-lahore-1464070/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1464016 | Graana.com",64 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1464016/
Rentals,"10 Marla Upper Portion for rent in Faisal Town, Lahore | 1467330 | Graana.com",83000,"Faisal Town, Lahore",2,https://www.graana.com/property/10-marla-upper-portion-rent-faisal-town-lahore-1467330/
Rentals,"5 Marla Lower Portion for rent in Model Town Link Road, Lahore | 1467195 | Graana.com",43000,"Model Town Link Road, Lahore",2,https://www.graana.com/property/5-marla-lower-portion-rent-model-town-link-road-lahore-1467195/
Rentals,"5 Marla Upper Portion for rent in Faisal Town, Lahore | 1466889 | Graana.com",48000,"Faisal Town, Lahore",2,https://www.graana.com/property/5-marla-upper-portion-rent-faisal-town-lahore-1466889/
Commercial Rentals,"120 Sqft Shop for rent in New Garden Town, Lahore | 1446985 | Graana.com",16000,"New Garden Town, Lahore",0,https://www.graana.com/property/120-sqft-shop-rent-new-garden-town-lahore-1446985/
Commercial Rentals,"1750 Sqft Office for rent in Gulberg 2, Lahore | 1438075 | Graana.com",4 Lac,"Gulberg 2, Lahore",Studio,https://www.graana.com/property/1750-sqft-office-rent-gulberg-2-lahore-1438075/
Commercial Rentals,"10 Kanal Warehouse for rent in Multan Road, Lahore | 1038339 | Graana.com",12 Lac,"Multan Road, Lahore",4,https://www.graana.com/property/10-kanal-warehouse-rent-multan-road-lahore-1038339/
Homes for Sale,"1 Kanal House for sale in DHA Phase 7, Lahore | 1467569 | Graana.com",8.4 Crore,"DHA Phase 7, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-7-lahore-1467569/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467561 | Graana.com",13.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467561/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467558 | Graana.com",13.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467558/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467557 | Graana.com",13.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467557/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467556 | Graana.com",13.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467556/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467555 | Graana.com",13.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467555/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467553 | Graana.com",13.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467553/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467551 | Graana.com",13.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467551/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467549 | Graana.com",13.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467549/
Homes for Sale,"25 Marla House for sale in DHA Phase 6, Lahore | 1467547 | Graana.com",24.99 Crore,"DHA Phase 6, Lahore",6,https://www.graana.com/property/25-marla-house-sale-dha-phase-6-lahore-1467547/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467545 | Graana.com",12.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467545/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467544 | Graana.com",12.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467544/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467543 | Graana.com",12.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467543/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467542 | Graana.com",12.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467542/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467541 | Graana.com",12.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467541/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467539 | Graana.com",12.6 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467539/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467537 | Graana.com",12.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467537/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467536 | Graana.com",12.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467536/
Homes for Sale,"1 Kanal House for sale in DHA Phase 1, Lahore | 1467534 | Graana.com",7.2 Crore,"DHA Phase 1, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-1-lahore-1467534/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467533 | Graana.com",12.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467533/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467531 | Graana.com",12.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467531/
Homes for Sale,"1 Kanal House for sale in DHA Phase 1, Lahore | 1467528 | Graana.com",7.8 Crore,"DHA Phase 1, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-1-lahore-1467528/
Homes for Sale,"10 Marla House for sale in DHA Phase 1, Lahore | 1467527 | Graana.com",5.25 Crore,"DHA Phase 1, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-1-lahore-1467527/
Homes for Sale,"10 Marla House for sale in DHA Phase 3, Lahore | 1467525 | Graana.com",5.3 Crore,"DHA Phase 3, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-3-lahore-1467525/
Homes for Sale,"1 Kanal House for sale in DHA Phase 5, Lahore | 1467521 | Graana.com",12.51 Crore,"DHA Phase 5, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-5-lahore-1467521/
Homes for Sale,"10 Marla House for sale in DHA Phase 1, Lahore | 1467520 | Graana.com",5.25 Crore,"DHA Phase 1, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-1-lahore-1467520/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467505 | Graana.com",12.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467505/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467503 | Graana.com",12.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467503/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467501 | Graana.com",12.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467501/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467499 | Graana.com",12.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467499/
Homes for Sale,"1 Kanal House for sale in DHA Phase 3, Lahore | 1467496 | Graana.com",6.8 Crore,"DHA Phase 3, Lahore",4,https://www.graana.com/property/1-kanal-house-sale-dha-phase-3-lahore-1467496/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467495 | Graana.com",12 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467495/
Homes for Sale,"10 Marla House for sale in DHA Phase 3, Lahore | 1467492 | Graana.com",4.95 Crore,"DHA Phase 3, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-3-lahore-1467492/
Homes for Sale,"1 Kanal House for sale in DHA Phase 3, Lahore | 1467489 | Graana.com",6.9 Crore,"DHA Phase 3, Lahore",4,https://www.graana.com/property/1-kanal-house-sale-dha-phase-3-lahore-1467489/
Homes for Sale,"10 Marla House for sale in Bahria Town - Sector B, Lahore | 1467486 | Graana.com",4.92 Crore,"Bahria Town - Sector B, Lahore",4,https://www.graana.com/property/10-marla-house-sale-bahria-town---sector-b-lahore-1467486/
Homes for Sale,"10 Marla House for sale in Bahria Town - Sector B, Lahore | 1467475 | Graana.com",4.88 Crore,"Bahria Town - Sector B, Lahore",4,https://www.graana.com/property/10-marla-house-sale-bahria-town---sector-b-lahore-1467475/
Homes for Sale,"10 Marla House for sale in Bahria Town - Sector B, Lahore | 1467460 | Graana.com",4.84 Crore,"Bahria Town - Sector B, Lahore",4,https://www.graana.com/property/10-marla-house-sale-bahria-town---sector-b-lahore-1467460/
Homes for Sale,"10 Marla House for sale in Bahria Town - Sector B, Lahore | 1467435 | Graana.com",4.78 Crore,"Bahria Town - Sector B, Lahore",4,https://www.graana.com/property/10-marla-house-sale-bahria-town---sector-b-lahore-1467435/
Homes for Sale,"10 Marla House for sale in Bahria Town - Sector B, Lahore | 1467420 | Graana.com",4.76 Crore,"Bahria Town - Sector B, Lahore",4,https://www.graana.com/property/10-marla-house-sale-bahria-town---sector-b-lahore-1467420/
Homes for Sale,"10 Marla House for sale in Bahria Town - Sector B, Lahore | 1467413 | Graana.com",4.75 Crore,"Bahria Town - Sector B, Lahore",4,https://www.graana.com/property/10-marla-house-sale-bahria-town---sector-b-lahore-1467413/
Homes for Sale,"10 Marla House for sale in DHA Phase 3, Lahore | 1467399 | Graana.com",4.9 Crore,"DHA Phase 3, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-3-lahore-1467399/
Homes for Sale,"4.75 Marla House for sale in Samanabad, Lahore | 1467376 | Graana.com",1.25 Crore,"Samanabad, Lahore",7,https://www.graana.com/property/4.75-marla-house-sale-samanabad-lahore-1467376
Homes for Sale,"3.5 Marla House for sale in Johar Town, Lahore | 1467374 | Graana.com",1.75 Crore,"Johar Town, Lahore",3,https://www.graana.com/property/3.5-marla-house-sale-johar-town-lahore-1467374
Homes for Sale,"12 Marla House for sale in Johar Town Phase 1, Lahore | 1467371 | Graana.com",4.5 Crore,"Johar Town Phase 1, Lahore",6,https://www.graana.com/property/12-marla-house-sale-johar-town-phase-1-lahore-1467371/
Homes for Sale,1 bedroom flat | 1467364 | Graana.com,79 Lac,"Bahria Town - Sector C , Lahore",1,https://www.graana.com/property/535-sqft-flat-sale-bahria-town---sector-c--lahore-1467364/
Homes for Sale,1 bedroom flat | 1467363 | Graana.com,78 Lac,"Bahria Town - Sector C , Lahore",1,https://www.graana.com/property/535-sqft-flat-sale-bahria-town---sector-c--lahore-1467363/
Homes for Sale,1 bedroom flat | 1467362 | Graana.com,77 Lac,"Bahria Town - Sector C , Lahore",1,https://www.graana.com/property/535-sqft-flat-sale-bahria-town---sector-c--lahore-1467362/
Homes for Sale,1 bedroom flat | 1467361 | Graana.com,74 Lac,"Bahria Town - Sector C , Lahore",1,https://www.graana.com/property/535-sqft-flat-sale-bahria-town---sector-c--lahore-1467361/
Homes for Sale,1 bedroom flat | 1467360 | Graana.com,71 Lac,"Bahria Town - Sector C , Lahore",1,https://www.graana.com/property/535-sqft-flat-sale-bahria-town---sector-c--lahore-1467360/
Homes for Sale,1 bedroom flat | 1467359 | Graana.com,73 Lac,"Bahria Town - Sector C , Lahore",1,https://www.graana.com/property/535-sqft-flat-sale-bahria-town---sector-c--lahore-1467359/
Homes for Sale,1 bedroom flat | 1467358 | Graana.com,75 Lac,"Bahria Town - Sector C , Lahore",1,https://www.graana.com/property/535-sqft-flat-sale-bahria-town---sector-c--lahore-1467358/
Homes for Sale,"10 Marla House for sale in Lahore Cantt, Lahore | 1467354 | Graana.com",3.5 Crore,"Lahore Cantt, Lahore",5,https://www.graana.com/property/10-marla-house-sale-lahore-cantt-lahore-1467354/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467300 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467300/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467297 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467297/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467293 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467293/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467290 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467290/
Homes for Sale,"10 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467255 | Graana.com",4.75 Crore,"Al Rehman Garden Phase 2, Lahore",5,https://www.graana.com/property/10-marla-house-sale-al-rehman-garden-phase-2-lahore-1467255/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467252 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467252/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467248 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467248/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467246 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467246/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467244 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467244/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467242 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467242/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467240 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467240/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467239 | Graana.com",8.7 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467239/
Homes for Sale,"5 Marla House for sale in Bahria Town - Sector C , Lahore | 1467212 | Graana.com",2.67 Crore,"Bahria Town - Sector C , Lahore",3,https://www.graana.com/property/5-marla-house-sale-bahria-town---sector-c--lahore-1467212/
Homes for Sale,"5 Marla House for sale in Bahria Town - Sector C , Lahore | 1467209 | Graana.com",2.66 Crore,"Bahria Town - Sector C , Lahore",3,https://www.graana.com/property/5-marla-house-sale-bahria-town---sector-c--lahore-1467209/
Homes for Sale,"5 Marla House for sale in Bahria Town - Sector C , Lahore | 1467201 | Graana.com",2.6 Crore,"Bahria Town - Sector C , Lahore",3,https://www.graana.com/property/5-marla-house-sale-bahria-town---sector-c--lahore-1467201/
Homes for Sale,"5 Marla House for sale in Bahria Town - Sector C , Lahore | 1467196 | Graana.com",2.22 Crore,"Bahria Town - Sector C , Lahore",3,https://www.graana.com/property/5-marla-house-sale-bahria-town---sector-c--lahore-1467196/
Homes for Sale,"5 Marla House for sale in Bahria Town - Sector C , Lahore | 1467192 | Graana.com",2.18 Crore,"Bahria Town - Sector C , Lahore",3,https://www.graana.com/property/5-marla-house-sale-bahria-town---sector-c--lahore-1467192/
Homes for Sale,"5 Marla House for sale in Bahria Town - Sector C , Lahore | 1467189 | Graana.com",2.18 Crore,"Bahria Town - Sector C , Lahore",3,https://www.graana.com/property/5-marla-house-sale-bahria-town---sector-c--lahore-1467189/
Homes for Sale,"5 Marla House for sale in Wapda Town, Lahore | 1467185 | Graana.com",2.7 Crore,"Wapda Town, Lahore",5,https://www.graana.com/property/5-marla-house-sale-wapda-town-lahore-1467185/
Homes for Sale,"5 Marla House for sale in Bahria Town - Sector C , Lahore | 1467183 | Graana.com",2.15 Crore,"Bahria Town - Sector C , Lahore",3,https://www.graana.com/property/5-marla-house-sale-bahria-town---sector-c--lahore-1467183/
Homes for Sale,"12 Marla House for sale in Wapda Town, Lahore | 1467180 | Graana.com",3.8 Crore,"Wapda Town, Lahore",5,https://www.graana.com/property/12-marla-house-sale-wapda-town-lahore-1467180/
Homes for Sale,"5 Marla House for sale in DHA Town Phase 9, Lahore | 1467098 | Graana.com",2.87 Crore,"DHA Town Phase 9, Lahore",3,https://www.graana.com/property/5-marla-house-sale-dha-town-phase-9-lahore-1467098/
Homes for Sale,"10 Marla House for sale in DHA Town Phase 9, Lahore | 1467097 | Graana.com",9.87 Crore,"DHA Town Phase 9, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-town-phase-9-lahore-1467097/
Homes for Sale,"5 Marla House for sale in DHA Town Phase 9, Lahore | 1467095 | Graana.com",2.85 Crore,"DHA Town Phase 9, Lahore",4,https://www.graana.com/property/5-marla-house-sale-dha-town-phase-9-lahore-1467095/
Homes for Sale,"10 Marla House for sale in DHA Town Phase 9, Lahore | 1467094 | Graana.com",9.85 Crore,"DHA Town Phase 9, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-town-phase-9-lahore-1467094/
Homes for Sale,"10 Marla House for sale in DHA Town Phase 9, Lahore | 1467092 | Graana.com",9.85 Crore,"DHA Town Phase 9, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-town-phase-9-lahore-1467092/
Homes for Sale,"5 Marla House for sale in DHA Town Phase 9, Lahore | 1467091 | Graana.com",2.85 Crore,"DHA Town Phase 9, Lahore",3,https://www.graana.com/property/5-marla-house-sale-dha-town-phase-9-lahore-1467091/
Homes for Sale,"5 Marla House for sale in DHA Town Phase 9, Lahore | 1467090 | Graana.com",2.84 Crore,"DHA Town Phase 9, Lahore",3,https://www.graana.com/property/5-marla-house-sale-dha-town-phase-9-lahore-1467090/
Homes for Sale,"5 Marla House for sale in DHA Town Phase 9, Lahore | 1467088 | Graana.com",2.85 Crore,"DHA Town Phase 9, Lahore",3,https://www.graana.com/property/5-marla-house-sale-dha-town-phase-9-lahore-1467088/
Homes for Sale,"5 Marla House for sale in DHA Town Phase 9, Lahore | 1467084 | Graana.com",2.86 Crore,"DHA Town Phase 9, Lahore",3,https://www.graana.com/property/5-marla-house-sale-dha-town-phase-9-lahore-1467084/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467073 | Graana.com",6.5 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467073/
Homes for Sale,"10 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467070 | Graana.com",4.63 Crore,"Al Rehman Garden Phase 2, Lahore",5,https://www.graana.com/property/10-marla-house-sale-al-rehman-garden-phase-2-lahore-1467070/
Homes for Sale,"10 Marla House for sale in DHA Phase 6, Lahore | 1467069 | Graana.com",6.5 Crore,"DHA Phase 6, Lahore",4,https://www.graana.com/property/10-marla-house-sale-dha-phase-6-lahore-1467069/
Homes for Sale,"10 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467066 | Graana.com",4.63 Crore,"Al Rehman Garden Phase 2, Lahore",5,https://www.graana.com/property/10-marla-house-sale-al-rehman-garden-phase-2-lahore-1467066/
Homes for Sale,"10 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467063 | Graana.com",4.7 Crore,"Al Rehman Garden Phase 2, Lahore",5,https://www.graana.com/property/10-marla-house-sale-al-rehman-garden-phase-2-lahore-1467063/
Homes for Sale,"1 Kanal House for sale in DHA Phase 4, Lahore | 1467038 | Graana.com",11.3 Crore,"DHA Phase 4, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-4-lahore-1467038/
Homes for Sale,"10 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467036 | Graana.com",4.72 Crore,"Al Rehman Garden Phase 2, Lahore",5,https://www.graana.com/property/10-marla-house-sale-al-rehman-garden-phase-2-lahore-1467036/
Homes for Sale,"5 Marla House for sale in DHA Town Phase 9, Lahore | 1467035 | Graana.com",2.87 Crore,"DHA Town Phase 9, Lahore",3,https://www.graana.com/property/5-marla-house-sale-dha-town-phase-9-lahore-1467035/
Homes for Sale,"10 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467032 | Graana.com",4.72 Crore,"Al Rehman Garden Phase 2, Lahore",5,https://www.graana.com/property/10-marla-house-sale-al-rehman-garden-phase-2-lahore-1467032/
Homes for Sale,"1.5 Kanal House for sale in Gulberg 3, Lahore | 1467028 | Graana.com",11 Crore,"Gulberg 3, Lahore",4,https://www.graana.com/property/1.5-kanal-house-sale-gulberg-3-lahore-1467028
Homes for Sale,"10 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467027 | Graana.com",4.72 Crore,"Al Rehman Garden Phase 2, Lahore",5,https://www.graana.com/property/10-marla-house-sale-al-rehman-garden-phase-2-lahore-1467027/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467024 | Graana.com",11.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467024/
Homes for Sale,"1 Kanal House for sale in DHA Phase 3, Lahore | 1467023 | Graana.com",7.9 Crore,"DHA Phase 3, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-3-lahore-1467023/
Homes for Sale,"5 Marla House for sale in DHA Town Phase 9, Lahore | 1467021 | Graana.com",2.86 Crore,"DHA Town Phase 9, Lahore",3,https://www.graana.com/property/5-marla-house-sale-dha-town-phase-9-lahore-1467021/
Homes for Sale,"5 Marla House for sale in DHA Town Phase 9, Lahore | 1467014 | Graana.com",2.87 Crore,"DHA Town Phase 9, Lahore",3,https://www.graana.com/property/5-marla-house-sale-dha-town-phase-9-lahore-1467014/
Homes for Sale,"10 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467005 | Graana.com",4.65 Crore,"Al Rehman Garden Phase 2, Lahore",5,https://www.graana.com/property/10-marla-house-sale-al-rehman-garden-phase-2-lahore-1467005/
Homes for Sale,"1 Kanal House for sale in DHA Phase 4, Lahore | 1467004 | Graana.com",7.3 Crore,"DHA Phase 4, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-4-lahore-1467004/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1467002 | Graana.com",11.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1467002/
Homes for Sale,"5 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467001 | Graana.com",1.97 Crore,"Al Rehman Garden Phase 2, Lahore",3,https://www.graana.com/property/5-marla-house-sale-al-rehman-garden-phase-2-lahore-1467001/
Homes for Sale,"5 Marla House for sale in Al Rehman Garden Phase 2, Lahore | 1467000 | Graana.com",1.97 Crore,"Al Rehman Garden Phase 2, Lahore",3,https://www.graana.com/property/5-marla-house-sale-al-rehman-garden-phase-2-lahore-1467000/
Homes for Sale,"1 Kanal House for sale in DHA Phase 6, Lahore | 1466999 | Graana.com",10.5 Crore,"DHA Phase 6, Lahore",5,https://www.graana.com/property/1-kanal-house-sale-dha-phase-6-lahore-1466999/
