ADMIN_UNIT,DISTRICT,ALL_SEXES,MALE,FEMALE,TRANSGENDER,AVG_HH_SIZE
JAUHARABAD MC,KHUSHAB DISTRICT,113188,58727,54448,13,6.43
KAMBAR SHAHDAD KOT,DISTRICT,112313,58272,54032,9,5.85
CHICHAWATNI MC,SAHIWAL DISTRICT,112191,56784,55391,16,6.31
FAROOQ ABAD MC,SHEIKHUPURA DISTRICT,109717,54817,54892,8,6.57
PISHIN MUNICIPAL CORPORATION,PISHIN DISTRICT,107646,55613,52027,6,5.08
DERA MURAD JAMALI MC,NASIRABAD DISTRICT,106952,53432,53518,2,7.49
KOTRI MC,JAMSHORO DISTRICT,106615,54326,52279,10,5.14
MALIR CANTONMENT (Part of Airport Sub-Division),MALIR DISTRICT,106089,53829,52248,12,5.75
NANKANA SAHIB,DISTRICT,103709,51704,51992,13,6.44
GUJAR KHAN MC,RAWALPINDI DISTRICT,103284,51338,51856,90,6.23
PASRUR MC,SIALKOT DISTRICT,102717,52364,50286,67,6.64
SHABQADAR MC,CHARSADDA DISTRICT,102340,53600,48739,1,6.73
KOT RADHA KISHAN MC,KASUR DISTRICT,102057,52059,49988,10,6.60
RENALA KHURD MC,OKARA DISTRICT,100054,50820,49214,20,6.65
KANDHKOT MC,KASHMORE DISTRICT,99155,48336,50818,1,5.47
UCH SHARIF MC,BAHAWALPUR DISTRICT,98852,50041,48800,11,7.15
DERA ALLAH YAR MUNICIPAL CORPORATION,JAFFARABAD DISTRICT,98761,50744,48015,2,9.14
FAZALPUR MC,RAJANPUR DISTRICT,98627,49712,48912,3,6.37
KAHROR PACCA MC,LODHRAN DISTRICT,98325,50621,47687,17,5.36
DIJKOT MC,FAISALABAD DISTRICT,96934,49651,47280,3,6.24
KHURIAN WALA MC,FAISALABAD DISTRICT,96743,52628,44100,15,6.51
HUJRA SHAH MUQEEM MC,OKARA DISTRICT,95921,48283,47634,4,6.04
NANKANA SAHIB,DISTRICT,94988,47397,47579,12,6.36
DINGA MC,GUJRAT DISTRICT,94252,47009,47231,12,6.78
ROHRI MC,SUKKUR DISTRICT,92135,50284,41843,8,7.43
KABIRWALA MC,KHANEWAL DISTRICT,91932,47230,44631,71,6.61
HARIPUR MC,HARIPUR DISTRICT,91915,46903,44983,29,5.91
KUNJAH MC,GUJRAT DISTRICT,90905,46030,44869,6,6.64
DAHARKI TC,GHOTKI DISTRICT,90177,46863,43311,3,5.51
JALALPUR PIRWALA MC,MULTAN DISTRICT,89679,44966,44702,11,5.98
NANKANA SAHIB,DISTRICT,89638,45224,44395,19,6.32
BAHAWALPUR CANTONMENT,BAHAWALPUR DISTRICT,88593,46443,42145,5,6.83
THUL MC,JACOBABAD DISTRICT,88554,45022,43524,8,5.91
NOWSHERA KALAN MC,NOWSHERA DISTRICT,88472,44985,43485,2,6.30
MALIR CANTONMENT (Part of Gulzar-e-Hijri Sub-Division),KARACHI EAST DISTRICT,88335,45301,43033,1,5.70
JAMSHORO TC,JAMSHORO DISTRICT,88190,45457,42713,20,6.22
