ADMIN_UNIT,DISTRICT,ALL_SEXES,MALE,FEMALE,TRANSGENDER,AVG_HH_SIZE
TANDO MIR ALI TC,KHAIRPUR DISTRICT,24605,12611,11993,1,6.13
QUAIDABAD MC,KHUSHAB DISTRICT,24520,13123,11393,4,7.29
KHUHRA TC,KHAIRPUR DISTRICT,24341,12214,12124,3,5.84
GANDAWA MC,JHAL MAGSI DISTRICT,24130,11510,12618,2,6.53
NEW SAEEDABAD TC,MATIARI DISTRICT,24084,12079,12003,2,5.75
MIRWAH TC,MIRPUR KHAS DISTRICT,23048,12047,10998,3,5.22
TANDO BAGO MC,BADIN DISTRICT,22786,11634,11150,2,4.65
MATIARI TC,MATIARI DISTRICT,22517,11374,11141,2,5.26
BHOPALWALA TC,SIALKOT DISTRICT,22336,11323,11012,1,6.36
HARNOLI TC,MIANWALI DISTRICT,22316,11653,10660,3,6.38
RAJO KHANANI TC,BADIN DISTRICT,21513,11118,10392,3,4.73
KANDHRA TC,SUKKUR DISTRICT,21465,11657,9807,1,6.97
BERANI TC,SANGHAR DISTRICT,20946,10555,10389,2,5.03
SARAI SIDHU TC,KHANEWAL DISTRICT,20899,10575,10318,6,7.49
HINGORNO TC,MIRPUR KHAS DISTRICT,20569,10855,9713,1,5.28
MADEJI TC,SHIKARPUR DISTRICT,20530,10096,10432,2,5.03
KAMBAR SHAHDAD KOT,DISTRICT,20428,10669,9758,1,5.98
SHORKOT CANTONMENT (Part of Shorkot Tehsil),JHANG DISTRICT,20246,10182,10061,3,5.63
AGRA TC,KHAIRPUR DISTRICT,20222,10198,10014,10,6.25
KARAMPUR TC,KASHMORE DISTRICT,20050,10184,9859,7,9.01
TANDO ALLAHYAR,DISTRICT,20037,10041,9995,1,4.96
GARHI KHAIRO TC,JACOBABAD DISTRICT,20007,10165,9817,25,7.85
SOHRAB KHAN SARKI TC,JACOBABAD DISTRICT,19867,10199,9667,1,7.02
QILA SOBHA SINGH TC,NAROWAL DISTRICT,19671,10114,9556,1,6.59
JHOL TC,SANGHAR DISTRICT,19364,9778,9579,7,5.51
BADHOMALHI TC,NAROWAL DISTRICT,19351,9868,9482,1,6.19
RASOOL NAGAR TC,GUJRANWALA DISTRICT,19315,9665,9647,3,7.38
SHAHEED,BENAZIRABAD DISTRICT,19127,9655,9471,1,5.60
SHAKARDARA TC,KOHAT DISTRICT,19018,9903,9113,2,6.53
HAVELIAN MC,ABBOTTABAD DISTRICT,18916,9655,9219,42,6.16
SHAHEED,BENAZIRABAD DISTRICT,18798,9562,9235,1,5.59
BHAG MC,KACHHI DISTRICT,18634,9128,9505,1,5.41
NOWSHERA MC,KHUSHAB DISTRICT,18577,8989,9587,1,5.89
CHUHAR JAMALI TC,SUJAWAL DISTRICT,18354,9748,8605,1,5.03
MANKERA MC,BHAKKAR DISTRICT,18234,9599,8633,2,5.37
GUJAR MASHKAI MC,AWARAN DISTRICT,18056,9432,8623,1,7.38
KHANPUR TC,SHIKARPUR DISTRICT,18052,8918,9133,1,5.02
TANDO ALLAHYAR,DISTRICT,17669,8858,8810,1,4.89
BAFFA TC,MANSEHRA DISTRICT,17556,9107,8447,2,6.04
THANO BULA KHAN TC,JAMSHORO DISTRICT,17462,9123,8337,2,4.48
BABARLOI TC,KHAIRPUR DISTRICT,17432,8823,8608,1,5.61
BAGH TC,JHANG DISTRICT,16560,8538,8020,2,6.27
MAKHDOOM RASHID TC,MULTAN DISTRICT,16418,8162,8255,1,5.54
DUREJI MC,LASBELA DISTRICT,15688,8090,7595,3,5.12
BARKHAN MC,BARKHAN DISTRICT,14425,7398,7026,1,9.81
HARNAI MC,HARNAI DISTRICT,14277,7157,7119,1,6.74
DIPLO TC,THARPARKAR DISTRICT,13257,6815,6440,2,4.72
PHULJI TC,DADU DISTRICT,12700,6416,6283,1,5.65
MIRPUR SAKRO TC,THATTA DISTRICT,12454,6337,6114,3,6.06
DOABA TC,HANGU DISTRICT,11108,5620,5486,2,8.71
DARO TC,SUJAWAL DISTRICT,10847,5431,5415,1,5.18
MIRPUR BATHORO TC,SUJAWAL DISTRICT,10462,5161,5293,8,5.71
JATI TC,SUJAWAL DISTRICT,10448,5247,5200,1,5.25
NINDO TC,BADIN DISTRICT,10151,5175,4974,2,5.57
DUKI MC,DUKI DISTRICT,9783,5281,4499,3,3.27
TANDO MUHAMMAD,KHAN DISTRICT,6459,3337,3121,1,4.91
JAM NAWAZ ALI TC,SANGHAR DISTRICT,6311,3185,3125,1,6.34
SHADI PALI TC,UMER KOT DISTRICT,5915,3108,2805,2,5.43
NORTH WAZIRISTAN,DISTRICT,4131,2265,1865,1,6.77
ZIARAT MC,ZIARAT DISTRICT,3863,1923,1939,1,5.69
KARACHI SOUTH,DISTRICT,2664,1458,1204,2,4.97
