Area,Area_A,Area_K,ELEV,ICON,NAME,Name_UC_N,P_1998,P_30_6_07,P_30_6_08,P_30_6_09,P_30_6_11,P_30_6_14,P_30_6_16,P_31_12_07,P_31_12_08,P_31_12_09,P_31_12_11,P_31_12_14,P_31_12_16,P_D_11,P_D_14,P_D_16,Town_Name,ZID,mean
132589257.973,3043.84270733,29464.2795496,0,0,Chandrai,Chandrai,41513,52627,53785,55891,58672,61787,63885,53208,54369,56810,59281,62155,64547,19.2756346636,20.4199119259,21.2057606803,Nishtar Town,0,0.1670670926472149
686439265.011,15758.5401923,152542.058891,0,0,Haloke,Haloke,41302,52359,53512,55607,58374,61473,63560,52937,54092,56521,58980,61839,64219,3.70427712768,3.92415790076,4.07518711863,Nishtar Town,0,0.17455606122114994
10643295.5123,244.337421617,2365.17678051,0,0,Sittara Colony,Sittara Colony,34442,43360,44300,45262,46408,49369,51794,43825,44781,45743,46889,50067,52331,189.934066149,204.909258961,214.175133934,Nishtar Town,0,0.03657764123450416
90100259.7587,2068.42562353,20022.2799464,0,0,Attari Saroba,Attari Saroba,39859,50530,51642,53664,56334,59325,61340,51088,52202,54546,56919,59679,61976,27.2352069899,28.8523789887,29.9628854405,Nishtar Town,0,0.10207336383859072
429455360.511,9858.97792326,95434.524558,0,0,Kamahan,Kamahan,38287,48537,49605,51547,54113,56843,58558,49073,50144,52395,54674,57066,59166,5.48870282713,5.78822677606,6.00123060022,Nishtar Town,0,0.1709327993096588
176376498.036,4049.06344223,39194.7773413,0,0,Dullo Khurd Kalan,Dullo Khurd Kalan,39828,50491,51602,53622,56291,59279,61292,51048,52162,54504,56875,59632,61927,13.9022272195,14.7273563012,15.2941540392,Nishtar Town,0,0.15776983923589763
908496813.015,20856.3004365,201888.18067,0,0,Dhaloke,Dhaloke,34547,43796,44760,46512,48827,51290,52838,44279,45245,47277,49334,51491,53386,2.34111510566,2.46884629212,2.55970612634,Nishtar Town,0,0.25646126244477774
787824126.49,18086.0256611,175072.028109,0,0,Hair,Hair,35491,44992,45983,47783,50161,52692,54282,45489,46482,48569,50682,52898,54845,2.77346725809,2.92479956577,3.03245174079,Nishtar Town,0,0.25094222160995716
644748173.79,14801.4406058,143277.371953,0,0,Pandoki,Pandoki,39401,49949,51049,53047,55687,58644,60635,50501,51603,53919,56265,58993,61264,3.76226892254,3.98562555978,4.13905657102,Nishtar Town,0,0.23616168866770662
302180285.811,6937.13256509,67151.1746247,0,0,Gajju Matta,Gajju Matta,35906,45519,46520,48342,50748,53442,55256,46021,47025,49137,51274,53760,55829,7.31541447764,7.74959963581,8.04784966644,Nishtar Town,0,0.18494162566133587
